encoder,C,class_weight,lr,macro_f1,micro_f1,food_f1,price_f1,service_f1,ambiance_f1,miscellaneous_f1
unretrained,10.0,balanced,0.01,0.726488586945891,0.8130841121495327,0.8870967741935484,0.9271523178807947,0.7912087912087912,0.7524752475247525,0.27450980392156865
unretrained,2.0,balanced,0.01,0.7203699994444873,0.8068535825545171,0.8825910931174089,0.9271523178807947,0.7777777777777778,0.7450980392156863,0.2692307692307692
unretrained,5.0,balanced,0.01,0.7203699994444873,0.8068535825545171,0.8825910931174089,0.9271523178807947,0.7777777777777778,0.7450980392156863,0.2692307692307692
unretrained,0.5,balanced,0.01,0.7189408520048565,0.80625,0.8825910931174089,0.9271523178807947,0.7777777777777778,0.7326732673267327,0.27450980392156865
unretrained,1.0,balanced,0.01,0.7178850450666966,0.8049921996879875,0.8825910931174089,0.9271523178807947,0.7777777777777778,0.7326732673267327,0.2692307692307692
unretrained,0.01,balanced,0.01,0.7172314502954548,0.8049921996879875,0.8825910931174089,0.9271523178807947,0.7692307692307693,0.7326732673267327,0.27450980392156865
unretrained,0.05,balanced,0.01,0.7172314502954548,0.8049921996879875,0.8825910931174089,0.9271523178807947,0.7692307692307693,0.7326732673267327,0.27450980392156865
unretrained,0.1,balanced,0.01,0.7172314502954548,0.8049921996879875,0.8825910931174089,0.9271523178807947,0.7692307692307693,0.7326732673267327,0.27450980392156865
unretrained,0.5,balanced,0.001,0.708204647497271,0.8,0.8734693877551021,0.935064935064935,0.7454545454545455,0.7079646017699115,0.27906976744186046
unretrained,0.01,balanced,0.001,0.7079041283919333,0.800599700149925,0.8780487804878049,0.935064935064935,0.7454545454545455,0.7142857142857143,0.26666666666666666
unretrained,0.05,balanced,0.001,0.7079041283919333,0.800599700149925,0.8780487804878049,0.935064935064935,0.7454545454545455,0.7142857142857143,0.26666666666666666
unretrained,0.1,balanced,0.001,0.7079041283919333,0.800599700149925,0.8780487804878049,0.935064935064935,0.7454545454545455,0.7142857142857143,0.26666666666666666
unretrained,1.0,balanced,0.001,0.7027557258653642,0.8,0.8688524590163934,0.935064935064935,0.7387387387387387,0.7079646017699115,0.2631578947368421
unretrained,2.0,balanced,0.001,0.6922171081433957,0.7920489296636085,0.8464730290456431,0.9281045751633987,0.75,0.7142857142857143,0.2222222222222222
unretrained,10.0,balanced,0.001,0.6798816556147419,0.7870370370370371,0.8368200836820083,0.9161290322580645,0.7433628318584071,0.7155963302752294,0.1875
unretrained,5.0,balanced,0.001,0.6787697976060034,0.785824345146379,0.8368200836820083,0.9281045751633987,0.7433628318584071,0.7090909090909091,0.17647058823529413
unretrained,10.0,,0.01,0.3706864564007421,0.7568555758683729,0.9183673469387755,0.935064935064935,0.0,0.0,0.0
unretrained,5.0,,0.01,0.36983699140033377,0.7572463768115942,0.9183673469387755,0.9308176100628931,0.0,0.0,0.0
unretrained,10.0,,0.001,0.3557664926435691,0.7398230088495575,0.9183673469387755,0.8604651162790697,0.0,0.0,0.0
unretrained,5.0,,0.001,0.3551020408163265,0.7394366197183099,0.9183673469387755,0.8571428571428571,0.0,0.0,0.0
unretrained,2.0,,0.001,0.35350587162239194,0.7377622377622378,0.9183673469387755,0.8491620111731844,0.0,0.0,0.0
unretrained,2.0,,0.01,0.35070643642072213,0.7339130434782609,0.9183673469387755,0.8351648351648352,0.0,0.0,0.0
unretrained,1.0,,0.001,0.3449300138903729,0.726027397260274,0.9183673469387755,0.806282722513089,0.0,0.0,0.0
unretrained,1.0,,0.01,0.32560895325872286,0.6950819672131148,0.9183673469387755,0.7096774193548387,0.0,0.0,0.0
unretrained,0.5,,0.001,0.31876118868600073,0.6827697262479872,0.9183673469387755,0.6754385964912281,0.0,0.0,0.0
unretrained,0.01,,0.01,0.31418194396402627,0.6740858505564388,0.9183673469387755,0.652542372881356,0.0,0.0,0.0
unretrained,0.01,,0.001,0.31418194396402627,0.6740858505564388,0.9183673469387755,0.652542372881356,0.0,0.0,0.0
unretrained,0.05,,0.01,0.31418194396402627,0.6740858505564388,0.9183673469387755,0.652542372881356,0.0,0.0,0.0
unretrained,0.05,,0.001,0.31418194396402627,0.6740858505564388,0.9183673469387755,0.652542372881356,0.0,0.0,0.0
unretrained,0.1,,0.01,0.31418194396402627,0.6740858505564388,0.9183673469387755,0.652542372881356,0.0,0.0,0.0
unretrained,0.1,,0.001,0.31418194396402627,0.6740858505564388,0.9183673469387755,0.652542372881356,0.0,0.0,0.0
