encoder,macro_f1,micro_f1,samples_f1,hamming_loss,seconds,milliseconds_per_review,food_f1,price_f1,service_f1,ambiance_f1,miscellaneous_f1
retrained,0.8118389403282716,0.9090909090909091,0.9091666666666667,0.07375,5.752819599991199,35.95512249994499,0.9640287769784173,1.0,0.9135802469135802,0.9855072463768116,0.19607843137254902
unretrained,0.7109862748397358,0.8328173374613003,0.834375,0.135,4.731587200018112,29.572420000113198,0.9257950530035336,0.9371428571428572,0.7058823529411765,0.6944444444444444,0.2916666666666667
