,precision,recall,f1-score,support
food,0.8791946308724832,0.9776119402985075,0.9257950530035336,134.0
price,0.9111111111111111,0.9647058823529412,0.9371428571428572,85.0
service,0.9230769230769231,0.5714285714285714,0.7058823529411765,42.0
ambiance,0.6756756756756757,0.7142857142857143,0.6944444444444444,35.0
miscellaneous,0.20588235294117646,0.5,0.2916666666666667,14.0
micro avg,0.8005952380952381,0.867741935483871,0.8328173374613003,310.0
macro avg,0.7189881387354738,0.745606421673147,0.7109862748397358,310.0
weighted avg,0.8405056688400422,0.867741935483871,0.8443536376517247,310.0
samples avg,0.8416666666666668,0.8729166666666666,0.834375,310.0
