model,macro_f1,micro_f1,samples_f1,precision_micro,recall_micro,exact_match_ratio,hamming_loss,mean_predicted_labels,mean_true_labels,seconds,milliseconds_per_review,food_f1,price_f1,service_f1,ambiance_f1,miscellaneous_f1
MPNet retrained,0.8873094681389231,0.9554140127388535,0.9535416666666666,0.9433962264150944,0.967741935483871,0.86875,0.035,1.9875,1.9375,3.0696536999894306,19.18533562493394,0.9675090252707581,1.0,0.9397590361445783,0.9459459459459459,0.5833333333333334
MPNet unretrained,0.7819327831368736,0.8644578313253012,0.8727083333333333,0.8107344632768362,0.9258064516129032,0.6125,0.1125,2.2125,1.9375,3.0660396000021137,19.16274750001321,0.9273356401384083,0.9580838323353293,0.9397590361445783,0.7619047619047619,0.3225806451612903
TF-IDF,0.7735527309092438,0.9064039408866995,0.8991666666666667,0.9230769230769231,0.8903225806451613,0.73125,0.07125,1.86875,1.9375,0.0015522999747190624,0.00970187484199414,0.9368029739776952,0.9485714285714286,0.9382716049382716,0.7941176470588235,0.25
