,precision,recall,f1-score,support
food,0.9328358208955224,1.0,0.9652509652509652,125.0
price,0.975,1.0,0.9873417721518988,78.0
service,0.9782608695652174,0.9375,0.9574468085106383,48.0
ambiance,1.0,0.9090909090909091,0.9523809523809523,44.0
miscellaneous,0.20689655172413793,0.46153846153846156,0.2857142857142857,13.0
micro avg,0.8936170212765957,0.9545454545454546,0.9230769230769231,308.0
macro avg,0.8185986484369756,0.8616258741258742,0.829626956801748,308.0
weighted avg,0.929547579621703,0.9545454545454546,0.939108841921354,308.0
samples avg,0.9083333333333332,0.95625,0.9214583333333334,308.0
